INDICE DE USOS - AREA DE TRATAMIENTO NORMATIVO I
Zonas: RDM, RDA, VT, CV, CZ, CM, I-1, I-2, I-3, I-4
P=Permitido, H=Compatible/Habilitado

D 17 2 3 07 | FABRICA DE HILOS DE FIBRAS TEXTILES REVESTIDOS | I-1=P I-2=P I-3=P
D 17 2 3 08 | FABRICA DE REDES DE CUERDA | I-1=P I-2=P I-3=P
D 17 2 3 09 | FABRICA DE REDES DE DEFENSA PARA BORDOS | I-1=P I-2=P I-3=P
D 17 2 3 10 | FABRICA DE REDES DE PESCA | I-1=P I-2=P I-3=P
D 17 2 9 01 | FABRICA DE BROCHAS | VT=H I-1=P I-2=P I-3=P
D 17 2 9 02 | FABRICA DE CAMISAS PARA MECHEROS DE GAS INCANDESCENTE | I-1=P I-2=P I-3=P
D 17 2 9 03 | FABRICA DE ENCAJES EN PIEZAS | VT=H I-1=P I-2=P I-3=P
D 17 2 9 04 | FABRICA DE FIELTROS INCLUSO BAÑADOS O LAMINADOS | I-1=P I-2=P I-3=P
D 17 2 9 05 | FABRICA DE HILADOS METALIZADOS O FORRADOS CON CAUCHO | I-1=P I-2=P I-3=P
D 17 2 9 06 | FABRICA DE LIENZOS PARA PINTORES | VT=H I-1=P I-2=P I-3=P
D 17 2 9 07 | FABRICA DE MONSUEROS | I-1=P I-2=P I-3=P
D 17 2 9 08 | FABRICA DE MARBETES E INSIGNIAS | VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 9 09 | FABRICA DE PAPEL TELA | I-1=P I-2=P I-3=P
D 17 2 9 10 | FABRICA DE TEJIDOS BORDADOS | VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 9 11 | FAB.DE TEJ.DE GRAN RESISTENCIA PARA CUERDAS NEUMATIC. | I-1=P I-2=P I-3=P
D 17 2 9 12 | FABRICA DE TEJIDOS DE MALLAS ANUDADAS | VT=H I-1=P I-2=P I-3=P
D 17 2 9 13 | FABRICA DE TEJIDOS ESTRECHOS, INCLUSO DE URDIMBRE | I-1=P I-2=P I-3=P
D 17 2 9 14 | FABRICA DE TEJIDOS RECUBIERTOS CON PLASTICO | I-1=P I-2=P I-3=P
D 17 2 9 15 | FABRICA DE TELA DE FILTRACION | I-1=P I-2=P I-3=P
D 17 2 9 16 | FABRICA DE TELA PARA TAMICES | I-1=P I-2=P I-3=P
D 17 2 9 17 | FABRICA DE TIRAS O MOTIVOS DECORATIVOS | VT=H I-1=P I-2=P I-3=P
D 17 2 9 18 | FABRICA DE TOALLAS HIGIENICAS,TAMPONES HIGIENICOS,PAÑALES | I-1=P I-2=P I-3=P
D 17 2 9 19 | FABRICA DE TRENCILLOS Y BORLAS | VT=H I-1=P I-2=P I-3=P
D 17 2 9 20 | FABRICA DE TUBOS DE MATERIAL TEXTIL | I-1=P I-2=P I-3=P
D 17 2 9 21 | FABRICA DE TULES | I-1=P I-2=P I-3=P
D 17 2 9 22 | FABRICA DE OTROS TEJIDOS ESPECIALES | I-1=P I-2=P I-3=P
D 17 2 9 23 | FABRICA DE TELAS | I-1=P I-2=P I-3=P
D 17 3 0 01 | FABRICA DE ARTICULOS DE JERSEYS | VT=H I-1=P I-2=P I-3=P
D 17 3 0 02 | FABRICA DE HILOS DE CAUCHO | I-1=P I-2=P I-3=P
D 17 3 0 03 | FABRICA DE PANTIMEDIAS, MEDIAS Y ARTICULOS SIMILARES | VT=H I-1=P I-2=P I-3=P
D 17 3 0 04 | FABRICA DE ROPA DE PUNTO | RDM=H RDA=H VT=H CV=H I-1=P I-2=P I-3=P
D 17 3 0 05 | FABRICA DE SUETERES, CHALECOS Y DE CAMISETAS | RDM=H RDA=H VT=H I-1=P I-2=P I-3=P
D 17 3 0 06 | FABRICA DE TEJIDOS ATERCIOPELADOS O DE RIZO | I-1=P I-2=P I-3=P
D 17 3 0 07 | FABRICA DE TEJIDOS DE PUNTO | I-1=P I-2=P I-3=P
D 17 3 0 08 | FABRICA DE TEJIDOS DE PUNTO DE URDIMBRE Y DE TRAMA | I-1=P I-2=P I-3=P
D 17 3 0 09 | FABRICA DE OTROS ARTICULOS DE PUNTO | I-1=P I-2=P I-3=P
D 18 1 0 01 | FABRICA DE CINTURONES | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 02 | FABRICA DE CORBATAS Y CORBATINES | VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 03 | CONFECCION DE CHALES | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 04 | FABRICA DE GUANTES | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 05 | CONFECCION DE PRENDAS DE VESTIR PARA BEBES Y NIÑOS | RDM=H RDA=H VT=P CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 06 | CONFECCION DE PRENDAS DE VESTIR PARA DAMAS | RDM=H RDA=H VT=P CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 07 | CONFECCION DE REDECILLAS PARA EL CABELLO | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 08 | CONFECCION DE ROPA DE TRABAJO | VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 09 | CONFECCION DE ROPA DE DEPORTE | RDM=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 10 | CONFECCION DE ROPA DE ETIQUETA | RDM=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 11 | CONFECCION DE ROPA INTERIOR | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 12 | CONFECCION DE ROPA PARA DORMIR | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 13 | CONFECCION DE SOMBREROS Y GORROS | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 14 | CONFECCION DE PRENDAS DE CABALLEROS | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 15 | CONFECCION DE CAMISAS | RDM=H RDA=H VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 16 | MODISTAS, COSTURERAS | RDM=H RDA=H VT=H CV=P CZ=P CM=P I-1=P I-2=P I-3=P
D 18 1 0 17 | SASTRERIAS | RDM=H RDA=H VT=H CV=P CZ=P CM=P I-1=P I-2=P I-3=P
D 18 2 0 01 | ACTIVIDADES DE ENGRASE, DESCARMADURA Y BLANQUEADO DE PIELES | I-1=P I-2=P I-3=P
D 18 2 0 02 | PELETERIAS | VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 2 0 03 | FABRICA DE ALFOMBRAS | I-1=P I-2=P I-3=P
D 18 2 0 04 | FABRICA DE PAÑOS PARA PULIMENTO INDUSTRIAL | I-1=P I-2=P I-3=P
D 18 2 0 05 | FABRICA DE PUFES SIN RELLENO | I-1=P I-2=P I-3=P
D 18 2 0 06 | CONFECCION DE PRENDAS DE VESTIR DE PIEL | VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 18 2 0 07 | PRODUCCION DE CUEROS CURTIDOS SIN DEPILAR | I-1=P I-2=P I-3=P
D 18 2 0 08 | PRODUCCION DE PIELES CURTIDAS Y ADOBADOS SIN DEPILAR | I-3=P I-4=P
D 18 2 0 09 | PRODUCCION DE PIELES FINAS ADOBADOS | I-1=P I-2=P I-3=P
D 18 2 0 10 | FABRICA DE PIELES ARTIFIC. Y ART. CONFEC. CON PIELES | VT=H CZ=P CM=P I-1=P I-2=P I-3=P
D 19 1 1 01 | FABRICA DE CUEROS DE CHAROL | I-1=P I-2=P I-3=P
D 19 1 1 02 | FABRICA DE CUEROS REGENERADOS | I-1=P I-2=P I-3=P
D 19 1 1 03 | FABRICA DE CUEROS APERGAMINADOS | I-1=P I-2=P I-3=P
D 19 1 1 04 | FABRICA DE CUEROS GAMUZADOS | I-1=P I-2=P I-3=P
D 19 1 1 05 | FABRICA DE CUEROS METALIZADOS | I-1=P I-2=P I-3=P
D 19 1 1 06 | FABRICA DE CUEROS CURTIDOS Y ADOBADOS | I-1=P I-2=P I-3=P
D 19 1 2 01 | FABRICA DE ARTICULOS CON CUEROS ARTIFICIALES | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 19 1 2 02 | FABRICA DE ARTICULOS DE TALABARTERIA Y GUARNICIONERIA | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 19 1 2 03 | FABRICA DE ARTICULOS DE CUEROS REVESTIDOS | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 19 1 2 04 | FABRICA DE MALETAS | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
